case,stem,mapping,pred_path,gt_path,shape,lumen_dice,lumen_iou,lumen_precision,lumen_recall,vessel_wall_dice,vessel_wall_iou,vessel_wall_precision,vessel_wall_recall
057,057_VL1,identity,sample_output/057/057_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/057/057_VL1_label_hwf.npy,512x512x400,0.7769820542620974,0.6352989806648411,0.7355920790276885,0.8233075663971987,0.23857606492233263,0.13544500002028925,0.7617285595058012,0.1414373740569023
058,058_VL1,identity,sample_output/058/058_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/058/058_VL1_label_hwf.npy,512x512x351,0.5667563530782757,0.39543615232171936,0.4942370417745494,0.6642167571176348,0.3622980821547542,0.22122345843707403,0.7726938675145724,0.23662239426498582
059,059_VL1,identity,sample_output/059/059_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/059/059_VL1_label_hwf.npy,512x512x351,0.5498696514107438,0.37918636207129836,0.3896650180065786,0.9337776016958048,0.3057607851505748,0.18047084642516031,0.7927907612409457,0.18940490534839682
059,059_VL2,identity,sample_output/059/059_VL2_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/059/059_VL2_label_hwf.npy,512x512x400,0.8203280972696152,0.6953866540102736,0.7443180467268371,0.9136281632439144,0.30910707205726884,0.18280700507355718,0.8918356486269516,0.18695198309630157
060,060_VL1,identity,sample_output/060/060_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/060/060_VL1_label_hwf.npy,512x512x400,0.740302905621044,0.5876832684019336,0.7034281123439511,0.7812576437137502,0.22450316009034332,0.12644526030345782,0.8304107841810247,0.12979701725473777
061,061_VL1,identity,sample_output/061/061_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/061/061_VL1_label_hwf.npy,512x512x350,0.8228234519164906,0.6989804997866125,0.7722054570226599,0.8805429599089911,0.16917232520016418,0.09240210180822166,0.8766302841505736,0.09361952161220552
062,062_VL1,identity,sample_output/062/062_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/062/062_VL1_label_hwf.npy,512x512x230,0.5544994654980626,0.38360377755869957,0.39633291652537145,0.9227431758348345,0.34885148596713067,0.2112780788658882,0.5990950491436,0.24606817010049833
062,062_VL2,identity,sample_output/062/062_VL2_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/062/062_VL2_label_hwf.npy,512x512x351,0.7125482786703563,0.5534563097515273,0.663002237685427,0.7700975322415585,0.38604711599455743,0.23919354760622344,0.8718450145887148,0.24790999916696826
063,063_VL1,identity,sample_output/063/063_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/063/063_VL1_label_hwf.npy,512x512x351,0.8698332373980839,0.7696503438090131,0.8318744429181606,0.9114218131556621,0.1851971644040616,0.10204809071903792,0.793009328107466,0.10484068082195105
064,064_VL1,identity,sample_output/064/064_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/064/064_VL1_label_hwf.npy,512x512x400,0.6793719461728911,0.5144309513977898,0.562477018100566,0.8575997891663165,0.39581116739573263,0.24673601969486725,0.5351607318053214,0.31403908166989436
